,Date,Open,High,Low,Close,Adj Close,Volume,SMA,STD_DEV,UB,LB,state
151,2019-06-26,1291.0,1304.599976,1286.349976,1294.150024,1287.022705,5299942,1273.0800049999998,1.9988285174255995,1277.077662034851,1269.0823479651485,A
150,2019-06-25,1258.900024,1298.0,1254.25,1295.849976,1288.7133789999998,6842363,1274.6550049999998,1.913366176808951,1278.4817373536177,1270.828272646382,A
149,2019-06-24,1272.150024,1276.449951,1257.099976,1262.400024,1255.447632,5150998,1275.6900025,1.9091036141017919,1279.5082097282036,1271.8717952717964,C
148,2019-06-21,1295.949951,1296.0,1275.550049,1279.5,1272.4533689999998,10623098,1277.3050048999999,2.0769377302101946,1281.4588803604202,1273.1511294395796,B
147,2019-06-20,1280.0,1300.0,1278.0,1296.75,1289.608398,4914012,1278.5800049,2.284259756660869,1283.1485244133216,1274.0114853866783,A
146,2019-06-19,1286.900024,1302.0,1262.599976,1277.349976,1270.315186,6625604,1278.0599975999999,2.3850011672752367,1282.8299999345504,1273.2899952654493,B
145,2019-06-18,1278.900024,1287.949951,1269.099976,1281.0,1273.9451900000001,7679193,1278.3099975999999,2.5800057920727366,1283.4700091841453,1273.1499860158544,B
144,2019-06-17,1320.0,1320.0,1278.5,1282.300049,1275.2380369999998,6815554,1279.6550049,2.891139790168431,1285.4372844803368,1273.8727253196632,B
143,2019-06-14,1321.900024,1325.0,1309.400024,1317.550049,1310.293945,6831331,1286.1000122,4.037068731705532,1294.174149663411,1278.025874736589,A
142,2019-06-13,1330.0,1334.699951,1308.650024,1327.25,1319.94043,7171189,1291.4100098,5.510884563284514,1302.431778926569,1280.3882406734308,A
141,2019-06-12,1334.699951,1338.400024,1325.0,1332.150024,1324.813477,4707716,1295.2100097999999,6.987932729230306,1309.1858752584606,1281.2341443415391,A
140,2019-06-11,1321.849976,1334.5,1318.0,1329.150024,1321.829956,5253790,1298.5400146,8.340388993943852,1315.2207925878877,1281.8592366121122,A
139,2019-06-10,1320.900024,1327.0,1310.099976,1319.150024,1311.885132,5380148,1304.2150146,9.948675454747349,1324.1123655094946,1284.3176636905052,B
138,2019-06-07,1325.949951,1327.25,1305.599976,1314.900024,1307.658447,6730595,1307.755017,11.307655672519664,1330.3703283450393,1285.1397056549606,B
137,2019-06-06,1361.900024,1361.900024,1321.099976,1327.349976,1320.039917,7664319,1310.8150146,12.309273266081476,1335.433561132163,1286.196468067837,B
136,2019-06-04,1357.449951,1374.25,1348.099976,1351.650024,1344.206055,7059911,1318.2450194,13.39869095929317,1345.0424013185864,1291.4476374814137,A
135,2019-06-03,1335.0,1367.25,1321.199951,1360.199951,1352.7089839999999,8483610,1326.1650145,14.474322820027265,1355.1136601400547,1297.2163688599455,A
134,2019-05-31,1337.900024,1341.900024,1320.199951,1330.150024,1322.8244630000002,11760178,1330.9500120000002,14.834752621157469,1360.6195172423152,1301.2805067576853,B
133,2019-05-30,1316.25,1342.0,1316.25,1329.75,1322.426636,10740841,1332.1700071000002,14.797091852410086,1361.7641908048204,1302.5758233951801,B
132,2019-05-29,1321.0,1333.300049,1304.150024,1313.050049,1305.818726,7112830,1330.7500120000002,14.059550626026034,1358.8691132520523,1302.630910747948,B
131,2019-05-28,1319.800049,1334.800049,1313.349976,1323.75,1316.459717,19472659,1329.9100096000002,12.718653444294892,1355.34731648859,1304.4727027114104,B
130,2019-05-27,1337.099976,1337.5,1307.0,1310.650024,1303.431885,7349720,1328.0600096000003,10.724166426772538,1349.5083424535453,1306.6116767464553,B
129,2019-05-24,1348.0,1353.800049,1316.5,1336.849976,1329.487549,10180759,1329.8300048,8.940564437854508,1347.711133675709,1311.948875924291,B
128,2019-05-23,1372.0,1392.0,1325.0,1333.900024,1326.553833,17722514,1331.7300048000002,6.956047830747601,1345.6421004614954,1317.817909138505,B
127,2019-05-22,1345.650024,1359.699951,1335.099976,1340.400024,1333.018066,11287400,1333.0350096000002,4.303541182718582,1341.6420919654374,1324.427927234563,B
126,2019-05-21,1332.199951,1367.0,1330.050049,1339.800049,1332.4213869999999,13872055,1331.8500121000002,2.0636551690762275,1335.9773224381527,1327.7227017618477,A
125,2019-05-20,1313.599976,1337.699951,1303.5,1325.900024,1318.5979,12333937,1328.4200194,1.6193886504467918,1331.6587967008936,1325.1812420991064,B
124,2019-05-17,1267.0,1276.949951,1252.0,1267.400024,1260.420044,7898440,1322.1450194000001,3.135014749315826,1328.4150488986318,1315.8749899013685,C
123,2019-05-16,1259.949951,1271.900024,1258.099976,1265.349976,1258.3813480000001,6606652,1315.705017,5.313169557093054,1326.331356114186,1305.078677885814,C
122,2019-05-15,1273.0,1278.0,1250.599976,1256.900024,1249.977905,11163801,1310.0900145,7.677668263794593,1325.4453510275891,1294.734677972411,C
121,2019-05-14,1236.5,1269.349976,1231.5,1260.449951,1253.508301,13001004,1303.7600096,10.249769316775046,1324.2595482335503,1283.26047096645,C
120,2019-05-13,1247.900024,1260.800049,1227.5,1232.050049,1225.264771,8047801,1295.9000121000001,13.252453932951646,1322.4049199659034,1269.3951042340968,C
119,2019-05-10,1265.0,1277.699951,1245.0,1251.150024,1244.2595210000002,11226831,1287.3300169000001,16.301585688125698,1319.9331882762515,1254.7268455237488,C
118,2019-05-09,1288.800049,1288.800049,1251.75,1256.449951,1249.530273,19507368,1279.5850096000001,18.85034654273,1317.2857026854601,1241.8843165145402,B
117,2019-05-08,1340.0,1340.0,1292.199951,1299.449951,1292.293457,14610543,1275.4900023000002,20.04774183868361,1315.5854859773674,1235.394518622633,B
116,2019-05-07,1394.800049,1395.0,1340.199951,1343.5,1336.100952,8876945,1275.8599974000003,19.536339193197286,1314.9326757863948,1236.7873190136058,A
115,2019-05-06,1398.0,1402.800049,1378.099976,1384.900024,1377.272949,7237910,1281.7599974000002,17.285093341404036,1316.3301840828083,1247.1898107171921,A
114,2019-05-03,1407.949951,1417.5,1402.650024,1408.849976,1401.091064,6510169,1295.9049926000002,14.420739660683134,1324.7464719213665,1267.063513278634,A
113,2019-05-02,1392.0,1413.900024,1382.099976,1405.050049,1397.3120119999999,8682505,1309.8749999000001,13.44711231877694,1336.769224537554,1282.9807752624463,A
112,2019-04-30,1396.400024,1396.400024,1366.800049,1392.800049,1385.129517,10217019,1323.4650024,15.931179816302288,1355.3273620326045,1291.6026427673955,A
111,2019-04-26,1375.0,1395.949951,1370.699951,1392.800049,1385.129517,6889444,1336.7000122,21.02030814694374,1378.7406284938875,1294.6593959061124,A
110,2019-04-25,1389.099976,1412.400024,1362.599976,1372.400024,1364.841797,13929820,1350.7350097,27.18536171860384,1405.1057331372078,1296.3642862627923,B
109,2019-04-24,1370.300049,1394.800049,1366.25,1389.5,1381.8476560000001,7360887,1364.5700073,33.00756033460783,1430.5851279692156,1298.5548866307845,B
108,2019-04-23,1348.0,1373.0,1346.0,1363.849976,1356.338867,9055300,1375.3100098,37.0366363835656,1449.3832825671311,1301.2367370328689,B
107,2019-04-22,1360.0,1367.0,1341.300049,1345.349976,1337.940796,10792748,1379.9000122999998,38.11947432344211,1456.138960946884,1303.6610636531157,B
106,2019-04-18,1375.0,1389.75,1365.0,1385.949951,1378.317139,17960482,1384.1450074,36.566583217636435,1457.2781738352728,1311.011840964727,B
105,2019-04-16,1345.0,1360.0,1340.0,1343.75,1336.3496089999999,7936553,1380.0300049999998,32.028383793899046,1444.086772587798,1315.9732374122018,B
104,2019-04-15,1345.0,1348.949951,1335.0,1340.150024,1332.769409,4245127,1373.1600098,26.32241647870003,1425.8048427574,1320.5151768425999,B
103,2019-04-12,1350.0,1356.900024,1336.650024,1343.099976,1335.703125,5919742,1366.9650024999999,20.271343743842472,1407.507689987685,1326.4223150123148,B
102,2019-04-11,1332.949951,1353.0,1329.0,1346.800049,1339.3828130000002,5741333,1362.3650025,14.703240649570256,1391.7714837991405,1332.9585212008594,B
101,2019-04-10,1337.949951,1348.0,1326.5,1331.400024,1324.067627,7612711,1356.225,11.007092273107341,1378.2391845462146,1334.2108154537852,C
100,2019-04-09,1328.900024,1340.699951,1321.0,1334.449951,1327.100708,9497621,1352.4299927,10.697447210566711,1373.8248871211333,1331.0350982788666,B
99,2019-04-08,1356.0,1357.5,1323.699951,1329.25,1321.929443,8723577,1346.4049927,12.937283028467162,1372.2795587569344,1320.5304266430658,B
